id,post,badge,reputation,learning,reciprocity,status,day,url,status_level
6337748,0.366057079,0.252806871,5,0.401913876,0.013305625,0.25,4,1,4
6337748,0.256423035,0.316140205,5,0.502392344,0.016638958,0.2,5,1,5
6337748,0.329940161,0.221456257,15,0.351674641,0.011655592,0.142857143,7,1,6
6337748,0.403580328,0.284948321,12.5,0.45215311,0.01499728,0.111111111,9,1,7
6337748,0.47734395,0.348546647,12.5,0.552631579,0.01834456,0.090909091,11,1,8
6337748,0.264825069,0.412251593,12.5,0.653110048,0.021697452,0.076923077,13,1,9
6337748,0.515574104,0.22871256,15,0.361722488,0.012037503,0.055555556,18,1,10
6337748,0.184867316,0.445268544,16.66666667,0.703349282,0.023435187,0.047619048,21,1,11
6337748,0.167711674,0.159658137,17.85714286,0.251196172,0.00840306,0.028571429,35,1,12
6337748,0.244837002,0.1448419,17.85714286,0.226076555,0.007623258,0.015873016,63,1,13
6337748,0.323902591,0.211450138,17.85714286,0.326555024,0.011128955,0.010989011,91,1,14
6337748,0.405008582,0.279734056,17.85714286,0.427033493,0.014722845,0.008403361,119,1,15
6337748,0.488263075,0.349780139,17.85714286,0.527511962,0.018409481,0.006802721,147,1,16
6337748,0.214495074,0.421681747,17.85714286,0.627990431,0.022193776,0.005714286,175,1,17
6337748,0.180496626,0.185245746,18.86792453,0.246515135,0.009749776,0.003558719,281,1,18
6337748,0.280184521,0.15588345,18.72659176,0.174602154,0.008204392,0.001824818,548,1,19
6337748,0.565340861,0.241977541,15.15151515,0.205094211,0.01273566,0.001138952,878,1,20
6344363,0.146483588,0.063227953,0,2.057692308,0.003327787,1,1,1,1
6344363,0.219816921,0.126508553,4,4.115384615,0.006658345,0.5,2,1,2
6344363,0.293211416,0.189841886,5,6.173076923,0.009991678,0.333333333,3,1,3
6344363,0.366667176,0.253228041,5,8.230769231,0.013327792,0.25,4,1,4
6344363,0.256850714,0.316667106,5,10.28846154,0.01666669,0.2,5,1,5
6344363,0.587341596,0.221825617,15,7.201923077,0.011675032,0.142857143,7,1,6
6344363,0.661043438,0.50724956,25,16.46153846,0.026697345,0.125,8,1,7
6344363,0.734807059,0.570901151,25,18.51923077,0.030047429,0.111111111,9,1,8
6344363,0.31876119,0.634606097,25,20.57692308,0.033400321,0.1,10,1,9
6344363,0.552153559,0.275293755,25,8.916666667,0.014489145,0.076923077,13,1,10
6344363,0.196837269,0.476859892,25,15.43269231,0.025097889,0.066666667,15,1,11
6344363,0.173121521,0.169995824,27.77777778,5.487179487,0.008947149,0.041666667,24,1,12
6344363,0.259167209,0.149514041,27.77777778,4.801282051,0.00786916,0.023809524,42,1,13
6344363,0.336157585,0.223826226,29.41176471,7.141402715,0.011780328,0.016949153,59,1,14
6344363,0.414310338,0.290317914,29.41176471,9.199095023,0.01527989,0.013157895,76,1,15
6344363,0.493661105,0.357813474,29.41176471,11.25678733,0.018832288,0.010752688,93,1,16
6344363,0.204001357,0.426343681,29.41176471,13.31447964,0.022439141,0.009090909,110,1,17
6344363,0.249138585,0.17618299,29.41176471,5.386312217,0.009272789,0.005617978,178,1,18
6344363,0.345821241,0.215165142,58.82352941,6.982308119,0.011324481,0.003802281,263,1,19
6344363,0.399342183,0.298663799,59.52380952,9.73868918,0.015719147,0.002881844,347,1,20
6348498,0.10996947,0.0632806,0,0.400966184,0.003330558,1,1,1,1
6348498,0.183425229,0.094973633,2,0.601449275,0.004998612,0.333333333,3,1,2
6348498,0.257003825,0.158412698,2.5,1.002415459,0.00833751,0.2,5,1,3
6348498,0.330705667,0.221957849,2.5,1.403381643,0.011681992,0.142857143,7,1,4
6348498,0.15650192,0.28560944,2.5,1.804347826,0.015032076,0.111111111,9,1,5
6348498,0.253183662,0.135160749,3.75,0.85205314,0.007113724,0.058823529,17,1,6
6348498,0.327950017,0.218658617,3.571428571,1.374741201,0.011508348,0.041666667,24,1,7
6348498,0.403163692,0.28322956,3.571428571,1.775707384,0.014906819,0.032258065,31,1,8
6348498,0.216773672,0.348186825,3.571428571,2.176673568,0.018325622,0.026315789,38,1,9
6348498,0.410488334,0.187213626,3.75,1.162801932,0.009853349,0.017241379,58,1,10
6348498,0.159973773,0.354512652,3.846153846,2.189892233,0.018658561,0.014084507,71,1,11
6348498,2.162288156,0.138159168,3.846153846,0.83894463,0.007271535,0.007352941,136,1,12
6348498,2.245307024,1.86743068,100,15.1729545,0.098285825,0.007092199,141,0,13
6348498,2.328719346,1.939128793,100,19.4396288,0.10205941,0.006849315,146,0,14
6348498,2.41252887,2.011166708,100,23.70630311,0.105850879,0.006622517,151,0,15
6348498,2.496739396,2.08354766,100,27.97297741,0.109660403,0.006410256,156,0,16
6348498,0.778154106,2.156274933,100,32.23965172,0.113488154,0.00621118,161,0,17
6348498,0.404441446,0.672042182,111.1111111,13.22213311,0.035370641,0.005586592,179,0,18
6348498,0.494420996,0.349290339,113.6363636,9.67572876,0.018383702,0.004484305,223,0,19
6348498,0.588639411,0.426999951,113.6363636,13.94240306,0.022473682,0.003745318,267,0,20
6361531,0.091804383,0.063386155,0,0,0.003336113,1,1,0,1
6361531,0.147145349,0.079285604,1,0,0.004172927,0.2,5,0,2
6361531,0.221157124,0.127080074,1,0,0.006688425,0.1,10,0,3
6361531,0.295481448,0.190999334,1,0,0.010052597,0.066666667,15,0,4
6361531,0.813343146,0.255188523,1,0,0.013430975,0.05,20,0,5
6361531,0.888109501,0.702432717,15,2.694822888,0.036970143,0.045454545,22,1,6
6361531,0.963003118,0.76700366,12.5,5.389645777,0.040368614,0.041666667,24,1,7
6361531,1.038024431,0.831684511,12.5,8.084468665,0.043772869,0.038461538,26,1,8
6361531,0.490359217,0.896475645,12.5,10.77929155,0.047182929,0.035714286,28,1,9
6361531,0.89273706,0.423492051,15,7.00653951,0.022289055,0.03030303,33,1,10
6361531,0.266967179,0.771000188,16.66666667,14.37238874,0.040578957,0.027777778,36,1,11
6361531,0.210071927,0.230562563,17.85714286,5.774620475,0.012134872,0.02,50,1,12
6361531,0.288573265,0.181425755,17.85714286,5.582133126,0.009548724,0.012820513,78,1,13
6361531,0.369085616,0.249222365,17.85714286,8.276956014,0.013116967,0.009433962,106,1,14
6361531,0.451714724,0.31875576,17.85714286,10.9717789,0.016776619,0.007462687,134,1,15
6361531,0.536574898,0.390117262,17.85714286,13.66660179,0.020532487,0.00617284,162,1,16
6361531,0.225050818,0.463405594,17.85714286,16.36142468,0.024389768,0.005263158,190,1,17
6361531,0.438479711,0.19436207,18.34862385,6.897757668,0.010229583,0.003344482,299,1,18
6361531,0.550935674,0.378687023,69.44444444,17.75240484,0.019930896,0.002695418,371,1,19
6361531,0.675054533,0.475808082,70.42253521,25.31240486,0.025042531,0.002262443,442,1,20
6371459,0.147218763,0.063545151,0,0.701492537,0.003344482,1,1,1,1
6371459,0.220920605,0.127143477,4,1.402985075,0.006691762,0.5,2,1,2
6371459,0.294684226,0.190795068,5,2.104477612,0.010041846,0.333333333,3,1,3
6371459,0.36850973,0.254500014,5,2.805970149,0.013394738,0.25,4,1,4
6371459,0.258142354,0.318258403,5,3.507462687,0.016750442,0.2,5,1,5
